1738399323,165.3084,1738399323,169,-3.691635,-3.605112,5.379704,429339961,26
1738400347,211.9757,1738400347,211,0.9757385,0.9528696,5.563174,430364003,26
1738401371,272.8533,1738401371,267,5.853333,5.716145,5.68154,431388058,31
1738402395,317.3743,1738402395,320,-2.625671,-2.564132,5.515836,432412097,27
1738403419,369.0359,1738403419,366,3.035919,2.964765,5.356042,433436143,32
1738404443,414.2619,1738404443,420,-5.738068,-5.603581,5.237677,434460183,25
1738405467,459.7458,1738405467,457,2.745758,2.681404,5.054212,435484222,27
1738406491,513.2417,1738406491,500,13.2417,12.93135,5.503999,436508270,37
1738407515,557.6962,1738407515,568,-10.30383,-10.06234,5.616446,437532311,29
1738408539,612.5391,1738408539,610,2.539063,2.479553,5.598689,438556358,29
1738409563,655.0993,1738409563,659,-3.900696,-3.809273,5.509918,439580395,25
1738410587,717.1528,1738410587,709,8.152771,7.96169,5.521755,440604451,33
1738411611,762.4094,1738411611,766,-3.590637,-3.506481,5.580933,441628494,31
1738412635,809.6642,1738412635,810,-0.3358154,-0.3279447,5.468487,442652533,28
1738413659,858.0226,1738413659,856,2.022583,1.975179,5.62236,443676575,29
1738414683,910.4706,1738414683,908,2.470642,2.412736,5.45073,444700622,30
1738415707,966.4257,1738415707,958,8.42572,8.228242,5.604602,445724676,43
1738416732,11.974,1738416732,26,-14.026,-13.69726,5.717048,446748713,25
1738417756,58.36962,1738417756,58,0.3696213,0.3609582,5.533584,447772753,25
1738418780,99.63583,1738418780,100,-0.3641739,-0.3556385,5.521751,448796789,26
1738419804,149.0016,1738419804,141,8.001572,7.814034,5.586857,449820832,33
1738420828,200.5958,1738420828,197,3.59581,3.511533,5.888688,450844878,36
1738421852,245.1291,1738421852,256,-10.87086,-10.61608,5.610532,451868917,24
1738422876,298.2187,1738422876,288,10.21866,9.979158,5.764408,452892965,34
1738423900,343.4084,1738423900,349,-5.591644,-5.46059,5.557272,453917004,28
1738424924,392.5745,1738424924,389,3.574524,3.490746,5.651964,454941048,32
1738425948,438.3656,1738425948,441,-2.63443,-2.572685,5.847263,455965088,29
1738426972,491.8701,1738426972,488,3.870056,3.779351,5.805833,456989136,33
1738427996,539.2218,1738427996,540,-0.7781982,-0.7599592,5.728894,458013177,31
1738429020,572.9326,1738429020,586,-13.06744,-12.76118,5.101565,459037206,20
1738430044,636.2763,1738430044,626,10.27631,10.03545,-9.830738,460061827,591
1738431069,250.3241,1738431069,230,20.32411,19.84776,-6.261424,461085871,32
1738432093,295.2514,1738432093,287,8.251404,8.058011,-3.065405,462109912,30
1738433117,347.4764,1738433117,336,11.47641,11.20743,0.4143672,463133982,30
1738434141,449.1333,1738434141,445,4.13327,4.036397,3.751957,464158053,28
1738435165,493.5858,1738435165,492,1.585815,1.548648,7.19008,465182091,26
1738436189,538.6893,1738436189,539,-0.3106689,-0.3033876,-2.207387,466206609,505
1738437214,67.38132,1738437214,56,11.38132,11.11457,4.16013,467230654,29
1738438238,117.9051,1738438238,116,1.905075,1.860425,10.45065,468254701,32
